句子,句型,人工判断
“总得对您的安全负责吧,未知句型,
”大史看着汪淼,未知句型,
又露出他招牌式的傻笑,未知句型,
“在那种情况下我比你要安全得多,未知句型,
你应该知道,未知句型,
一个人的鉴别能力是和他的知识成正比的,肯定句,对
”,未知句型,
“那不见得,否定句,
像您这样的……”,未知句型,
“大史,未知句型,
你要再多说一句,未知句型,
也从这里出去好了,未知句型,
”常伟思严厉地喝斥道,未知句型,
“没关系,未知句型,
让他说,未知句型,
”汪淼转向常将军,未知句型,
“我改变主意了,未知句型,
决定按您的意思加入‘科学边界’,未知句型,
”,未知句型,
“很好,未知句型,
”大史连连点头,未知句型,
“进去后机灵点儿,未知句型,
有些事顺手就能做,未知句型,
比如瞄一眼他们的电脑,未知句型,
记个邮件地址或网址什么的……”,未知句型,
“够了,未知句型,
够了,未知句型,
你误会了,未知句型,
我不是去卧底,肯定句,错
只是想证明你的无知和愚蠢,肯定句,对
”,未知句型,
“如果您过一阵儿还活着,未知句型,
那自然也就证明了,未知句型,
不过恐怕……嘿嘿,否定句,
”大史仰着头,未知句型,
傻笑变成了狞笑,未知句型,
“我当然会一直活下去,未知句型,
但实在不想再见到你这号人了,否定句,
”,未知句型,
常伟思一直把汪淼送下了楼梯,把字句,
并安排车送他,未知句型,
在道别时说：“史强就那种脾气,未知句型,
其实他是一名很有经验的刑警和反恐专家,肯定句,对
二十多年前,未知句型,
他曾是我连里的一名战士,肯定句,对
”,未知句型,
走到车前,未知句型,
常伟思又说：“汪教授,未知句型,
你一定有很多问题要问,未知句型,
”,未知句型,
“刚才您说的那些,未知句型,
与军方有什么关系,未知句型,
”,未知句型,
“战争与军方当然有关系,未知句型,
”,未知句型,
汪淼迷惑地看看周围明媚春光中的一切,未知句型,
“可战争在哪儿,未知句型,
现在全球一处热点都没有,否定句,
应该是历史上最和平的年代了,肯定句,对
”,未知句型,
常伟思露出了高深莫测的笑容：“你很快就会知道一切的,未知句型,
所有人都会知道,未知句型,
汪教授,未知句型,
你的人生中有重大的变故吗,疑问句,对
这变故突然完全改变了你的生活,未知句型,
对你来说,未知句型,
世界在一夜之间变得完全不同,否定句,
”,未知句型,
“没有,否定句,
”“那你的生活是一种偶然,肯定句,对
世界有这么多变幻莫测的因素,未知句型,
你的人生却没什么变故,未知句型,
”,未知句型,
汪淼想了半天还是不明白,肯定句,
“大部分人都是这样嘛,肯定句,
”,未知句型,
“那大部分人的人生都是偶然,肯定句,
”,未知句型,
“可……多少代人都是这么平淡地过来的,肯定句,
”,未知句型,
“都是偶然,肯定句,
”,未知句型,
汪淼摇头笑了起来,未知句型,
“得承认今天我的理解力太差了,未知句型,
您这岂不是说……”,肯定句,
“是的,肯定句,
整个人类历史也是偶然,肯定句,
从石器时代到今天,未知句型,
都没什么重大变故,未知句型,
真幸运,未知句型,
但既然是幸运,肯定句,
总有结束的一天,未知句型,
现在我告诉你,未知句型,
结束了,未知句型,
做好思想准备吧,未知句型,
”,未知句型,
汪淼还想问下去,未知句型,
但将军与他握手告别,未知句型,
阻止了他下面的问题,未知句型,
上车后,未知句型,
司机开口问汪淼家的地址,未知句型,
汪淼告诉他后,未知句型,
随口问道： “哦,未知句型,
接我来的不是你,肯定句,
我看车是一样的,肯定句,
”,未知句型,
“不是我,肯定句,
我是去接丁博士的,肯定句,
”,未知句型,
汪淼心里一动,未知句型,
便向司机打听丁仪的住处,未知句型,
司机告诉了他,未知句型,
当天晚上,未知句型,
他就去找丁仪,未知句型,
2.台球,未知句型,
推开丁仪那套崭新的三居室的房门,未知句型,
汪淼闻到了一股酒味,未知句型,
看到丁仪躺在沙发上,未知句型,
电视开着,未知句型,
他的双眼却望着天花板,未知句型,
汪淼四下打量了一下,未知句型,
看到房间还没怎么装修,未知句型,
也没什么家具和陈设,未知句型,
宽大的客厅显得很空,未知句型,
最显眼的是客厅一角摆放的一张台球桌,肯定句,
对汪淼的不请自来,否定句,
丁仪倒没表示反感,未知句型,
他显然也想找人说话,未知句型,
“这套房子是三个月前买的,肯定句,
”丁仪说,未知句型,
“我买房子干什么,未知句型,
难道她真的会走进家庭,未知句型,
”他带着醉意笑着摇摇头,未知句型,
“你们……”汪淼想知道杨冬生活中的一切,未知句型,
但又不知该如何问,否定句,
“她像一颗星星,未知句型,
总是那么遥远,肯定句,
照到我身上的光也总是冷的,肯定句,
”丁仪走到窗前看着夜空,未知句型,
像在寻找那颗已逝去的星辰,未知句型,
汪淼也沉默下来,未知句型,
很奇怪,未知句型,
他现在就是想听一听她的声音,肯定句,
一年前那个夕阳西下的时刻,未知句型,
她同他对视的那一瞬间没有说话,否定句,
他从来没有听到过她的声音,否定句,
丁仪一挥手,未知句型,
像要赶走什么,未知句型,
将自己从这哀婉的思绪中解脱出来,未知句型,
“汪教授,未知句型,
你是对的,肯定句,
别跟军方和警方纠缠到一块儿,未知句型,
那是一群自以为是的白痴,肯定句,
那些物理学家的自杀与‘科学边界’没有关系,否定句,
我对他们解释过,未知句型,
可解释不清,否定句,
”,未知句型,
“他们好像也做过一些调查,未知句型,
”,未知句型,
“是,肯定句,
而且这种调查还是全球范围的,肯定句,
那他们也应该知道,未知句型,
其中的两人与‘科学边界’没有任何来往,否定句,
包括——杨冬,未知句型,
”丁仪说出这个名字时显得很吃力,未知句型,
“丁仪,未知句型,
你知道,未知句型,
我现在也卷进这件事里了,未知句型,
所以,未知句型,
关于使杨冬做出这种选择的原因,未知句型,
我很想知道,未知句型,
我想你一定知道一些,未知句型,
”汪淼笨拙地说道,未知句型,
试图掩盖他真正的心迹,未知句型,
“如果知道了,未知句型,
你只会卷得更深,未知句型,
现在你只是人和事卷进来了,肯定句,
知道后连精神也会卷进来,未知句型,
那麻烦就大了,未知句型,
”,未知句型,
“我是搞应用研究的,肯定句,
没有你们理论派那么敏感,否定句,
”,未知句型,
“那好吧,未知句型,
打过台球吗,疑问句,对
”丁仪走到了台球桌前,未知句型,
“上学时随便玩过几下,未知句型,
”,未知句型,
“我和她很喜欢打,未知句型,
因为这让我们想到了加速器中的粒子碰撞,未知句型,
”丁仪说着拿起黑白两个球,未知句型,
将黑球放到洞旁,未知句型,
将白球放到距黑球仅十厘米左右的位置,未知句型,
问汪淼,未知句型,
“能把黑球打进去吗,把字句,
”,未知句型,
“这么近谁都能,未知句型,
”,未知句型,
“试试,未知句型,
”,未知句型,
汪淼拿球杆,未知句型,
轻击白球,未知句型,
将黑球撞入洞内,未知句型,
“很好,未知句型,
来,未知句型,
我们把球桌换个位置,把字句,
”丁仪招呼一脸迷惑的汪淼,未知句型,
两人抬起沉重的球桌,未知句型,
将它搬到客厅靠窗的一角,未知句型,
放稳后,未知句型,
丁仪从球袋内掏出刚才打进去的黑球,未知句型,
将它放到洞边,未知句型,
又拾起那个白球,未知句型,
再次放到距黑球十厘米左右的地方,未知句型,
“这次还能打进去吗,疑问句,对
”,未知句型,
“当然,未知句型,
”,未知句型,
“打吧,未知句型,
”,未知句型,
汪淼再次轻而易举地将黑球打入洞内,未知句型,
“搬,未知句型,
”丁仪挥手示意,未知句型,
两人再次抬起球桌,未知句型,
搬到客厅的第三个角,未知句型,
丁仪又将黑白两个球摆放到同样的位置,未知句型,
“打吧,未知句型,
”,未知句型,
“我说,未知句型,
我们……”,未知句型,
“打吧,未知句型,
”,未知句型,
汪淼无奈地笑笑,未知句型,
第三次将黑球击入洞内,未知句型,
他们又搬了两次台球桌,未知句型,
一次搬到了客厅靠门的一角,未知句型,
最后一次搬回了原位,未知句型,
丁仪又两次将黑白球摆到洞前的位置,未知句型,
汪淼又两次将黑球击入洞内,未知句型,
这时两人都有些出汗了,未知句型,
“好了,未知句型,
实验结束,未知句型,
让我们来分析一下结果,未知句型,
”丁仪点上一枝烟说,未知句型,
“我们总共进行了五次试验,未知句型,
其中四次在不同的空间位置和不同的时间,否定句,
两次在同一空间位置但时间不同,否定句,
您不对结果震惊吗,否定句,
”他夸张地张开双臂,未知句型,
“五次,未知句型,
撞击试验的结果居然都一样,未知句型,
”,未知句型,
“你到底想表达什么,未知句型,
”汪淼喘着气问,未知句型,
“你现在对这令人难以置信的结果做出解释,未知句型,
用物理学语言,未知句型,
”,未知句型,
“这……在五次试验中,未知句型,
两个球的质量是没有变化的,肯定句,
所处位置,未知句型,
当然是以球桌面为参照系来说,肯定句,
也没有变化,否定句,
白球撞击黑球的速度向量也基本没有变化,否定句,
因而两球之间的动量交换也没有变化,否定句,
所以五次试验中黑球当然都被击入洞中,被字句,
”,未知句型,
丁仪拿起撂在地板上的一瓶白兰地,未知句型,
